級別	字詞	中文釋義
中高級	celebrity	[名詞] 名人;名流
中高級	celery	[名詞] 芹菜
初級	cell	[名詞] 單人牢房;細胞;蜂房的巢室;電池
中高級	cell phone	[名詞] 手機
中高級	cellar	[名詞] 地下室;地窖;酒窖
中高級	cello	[名詞] 大提琴
中高級	Celsius	[形容詞] 攝氏的
中級	cement	[動詞] 黏緊,黏牢; [名詞] 水泥
中高級	cemetery	[名詞] 公墓;墓地
中高級	census	[名詞] 人口普查
初級	cent	[名詞] 分(錢幣)
初級	center	[動詞] 集中;居中; [名詞] 中心(點)
中高級	centered	[形容詞] 有圓心的;位於中心的
初級	centimeter	[名詞] 公分
初級	central	[形容詞] 中央的
初級	century	[名詞] 一世紀
中高級	ceramic	[形容詞] 陶器的;製陶藝術的
初級	cereal	[名詞] 麥片
中級	ceremony	[名詞] 儀式,典禮
初級	certain	[形容詞] 肯定的
初級	certainly	[副詞] 無疑地;必定
中高級	certainty	[名詞] 確實;必然
中級	certificate	[名詞] 證明書;執照
中高級	certify	[動詞] 證明;保證;發證書(或執照等)
中級	chain	[動詞] 拘禁;束縛; [名詞] 鏈條;項圈
初級	chair	[名詞] 椅子
初級	chairman	[名詞] 主席
中高級	chairperson	[名詞] 主席(沒有性別歧視的字眼)
初級	chalk	[名詞] 粉筆
中級	challenge	[動詞] 對...提出異議; [名詞] 挑戰;艱鉅的事
中高級	challenged	[形容詞] 殘障的(婉轉說法)
中高級	challenger	[名詞] 挑戰人;挑戰物
中高級	challenging	[名詞] 挑戰;;異議;盤問
中級	chamber	[名詞] 室,房間;議院
中高級	champagne	[名詞] 香檳酒;香檳酒色
中級	champion	[動詞] 擁護,支持; [名詞] 優勝者,冠軍
中級	championship	[名詞] 冠軍的地位
初級	chance	[名詞] 機會
初級	change	[動詞] 改變;更改; [名詞] 零錢
中級	changeable	[形容詞] 易變的;不定的
初級	channel	[名詞] 管道;頻道
中高級	chant	[動詞] 反覆地唱(或說);吟誦; [名詞] 詠唱;吟誦;單調的語調
中高級	chaos	[名詞] 混亂;雜亂的一團
中高級	chapel	[名詞] 小禮拜堂
中高級	chapped	[形容詞] 裂開的;有裂痕的
初級	chapter	[名詞] (書籍的)章,回
初級	character	[名詞] 特性;角色;(中文)字
中級	characteristic	[形容詞] 特有的,獨特的; [名詞] 特性,特徵
中高級	characterize	[動詞] 描繪...的特性;具有...的特徵
中高級	charcoal	[名詞] 木炭;炭筆;深灰色
初級	charge	[動詞] 索價;充電; [名詞] 費用;充電
中高級	chariot	[名詞] (古代的)雙輪戰車
中高級	charitable	[形容詞] 慈善的;寬容的
中級	charity	[名詞] 施捨;善舉
中級	charm	[動詞] 使陶醉; [名詞] 魅力
中級	charming	[形容詞] 迷人的;有魅力的
初級	chart	[名詞] 圖表
中高級	charter	[動詞] 發執照給;給特權;包租; [名詞] 憑照;特權;包租
中高級	chartered	[形容詞] 領有執照的;包租的
初級	chase	[動詞] 追
中級	chat	[動詞] 閒談,聊天; [名詞] 閒談,聊天
中高級	chatter	[動詞] 喋喋不休;吱吱叫; [名詞] 嘮叨;饒舌;吱吱聲
初級	cheap	[形容詞] 便宜的
初級	cheat	[動詞] 欺騙;作弊; [名詞] 騙子;欺詐,欺騙,作弊
初級	check	[動詞] 檢查; [名詞] 支票;買單
中高級	checkbook	[名詞] 支票簿
中高級	checked	[形容詞] 格子花紋的
中高級	check-in	[名詞] 辦理投宿(或登機)手續;報到
中級	checkout	[名詞] 付款臺
中高級	checkup	[名詞] 檢查;體檢
中級	cheek	[名詞] 臉頰;腮幫子
初級	cheer	[動詞] 向...歡呼; [名詞] 喝采;鼓勵
中級	cheerful	[形容詞] 使人感到愉快的
初級	cheese	[名詞] 起司;乳酪
中高級	chef	[名詞] (餐館等的)主廚;大師傅
初級	chemical	[形容詞] 化學的; [名詞] 化學製品;化學藥品
中級	chemist	[名詞] 化學家
中級	chemistry	[名詞] 化學
中級	cherish	[動詞] 撫育;愛護
中級	cherry	[名詞] 櫻桃
初級	chess	[名詞] 西洋棋
中級	chest	[名詞] 胸;箱子,盒子
中高級	chestnut	[形容詞] 栗色的; [名詞] 栗子;栗樹;栗色
中級	chew	[動詞] 咀嚼; [名詞] 咀嚼
中級	chick	[名詞] 小雞
初級	chicken	[名詞] 雞;雞肉
初級	chief	[形容詞] 為首的;主要的; [名詞] 首領;長官
初級	child	[名詞] 小孩
中級	childbirth	[名詞] 分娩
初級	childhood	[名詞] 幼時
初級	childish	[形容詞] 幼稚的
初級	childlike	[形容詞] 天真爛漫的
中高級	chili	[名詞] 紅番椒
中級	chill	[形容詞] 涼颼颼的; [名詞] 寒冷,寒氣
中高級	chilli	[名詞] 紅番椒
中級	chilly	[形容詞] 冷颼颼的
中級	chimney	[名詞] 煙囪
中高級	chimpanzee	[名詞] 黑猩猩
初級	chin	[名詞] 下巴
中級	China	[名詞] 中國
初級	Chinese	[形容詞] 中國的;中國人的; [名詞] 中文;中國人
中級	chip	[動詞] 削,鑿,鏟; [名詞] 晶片;屑片;炸洋芋片;籌碼
中高級	chirp	[動詞] 鳥發啾聲;蟲發唧聲;人嘁喳說話; [名詞] 啁啾聲;唧唧聲
中高級	chisel	[動詞] 鑿;雕;欺騙;騙取; [名詞] 鑿子
初級	chocolate	[名詞] 巧克力
初級	choice	[名詞] 選擇
中高級	choir	[名詞] (教堂的)唱詩班;合唱團
中級	choke	[動詞] 使窒息;哽住; [名詞] 窒息,噎
中高級	cholesterol	[名詞] 膽固醇
初級	choose	[動詞] 選擇;挑選
中級	chop	[動詞] 砍,劈,斬; [名詞] 肋骨肉
初級	chopstick	[名詞] 筷子
中高級	chord	[名詞] (樂器的)弦;心弦;弦桿;和音
中級	chore	[名詞] 家庭雜務
中級	chorus	[名詞] 合唱隊
中級	Christian	[形容詞] 基督教的; [名詞] 基督教徒
初級	Christmas	[名詞] 耶誕節
中高級	chronic	[形容詞] (病)慢性的;(人)久病的;長期的
初級	chubby	[形容詞] 圓胖的
中高級	chuck	[動詞] 撫弄(尤指下巴);扔;放棄;打發; [名詞] 輕拍;撫弄(尤指下巴);扔
中高級	chuckle	[動詞] 咯咯地笑;暗自發笑; [名詞] 咯咯聲;輕笑聲
中高級	chunk	[名詞] (肉、木材等的)大塊;厚片
初級	church	[名詞] 教堂
中級	cigar	[名詞] 雪茄煙
中級	cigarette	[名詞] 香煙,紙煙
中級	cinema	[名詞] 電影院;電影;電影業
初級	circle	[名詞] 圓圈;集團
中高級	circuit	[名詞] 環道;一圈;巡迴路線;電路
中級	circular	[形容詞] 圓形的;環形的
中級	circulate	[動詞] 流通;發行
中級	circulation	[名詞] 發行量
中高級	circumference	[名詞] 圓周
中級	circumstance	[名詞] 境況;境遇
中級	circus	[名詞] 馬戲團
中高級	cite	[動詞] 引用;舉出;表揚
初級	citizen	[名詞] 市民;公民
初級	city	[名詞] 都市
中高級	civic	[形容詞] 城市的;市民的
中級	civil	[形容詞] 市民的,國民的
中級	civilian	[形容詞] 百姓的;民用的; [名詞] 平民,百姓
中級	civilization	[名詞] 文明
中級	civilize	[動詞] 使文明,使開化
初級	claim	[動詞] 聲稱; [名詞] 主張,斷言
中高級	clam	[名詞] 蛤;蚌;守口如瓶的人
中高級	clamp	[動詞] 鉗緊;夾住;強行實施;取締; [名詞] 螺絲鉗;鐵箍
中高級	clan	[名詞] 氏族;部落;家族
初級	clap	[動詞] 拍(手);鼓(掌); [名詞] 拍手喝采(聲);霹靂聲;輕拍
中級	clarify	[動詞] 澄清;闡明
中高級	clarity	[名詞] (思想、文體等的)清楚;明晰
中級	clash	[動詞] 砰地相碰撞; [名詞] 碰撞聲,鏗鏘聲
中高級	clasp	[動詞] 扣住;鉤住;緊抱;緊握; [名詞] 扣子;鉤子;夾子;緊握;緊抱
初級	class	[名詞] 階級;班級;上課
初級	classic	[形容詞] 典型的;古典的; [名詞] 古典著作
初級	classical	[形容詞] 古典的
中級	classification	[名詞] 分類;分級
中級	classify	[動詞] 將...分類
初級	classmate	[名詞] 同班同學
中級	classroom	[名詞] 教室
中高級	clause	[名詞] (文件的)條款;子句
中級	claw	[動詞] 用爪子抓; [名詞] (動物的)爪,腳爪;(蟹,蝦等的)鉗,螯
中級	clay	[名詞] 黏土
初級	clean	[形容詞] 乾淨的; [動詞] 打掃
中級	cleaner	[名詞] 清潔工;乾洗店;吸塵器;清潔劑
中高級	cleanse	[動詞] 清洗;淨化
中高級	clean-up	[名詞] 清潔;掃除
初級	clear	[形容詞] 清楚的;晴朗的; [動詞] 使乾淨;收拾;交換票據
中高級	clearance	[名詞] 清掃;出空;清倉大拍賣
中高級	clearing	[名詞] 清除;(樹林中的)空地
中高級	clench	[動詞] 緊握;緊咬; [名詞] 緊握;緊咬
初級	clerk	[名詞] 店員;辦事員;職員
初級	clever	[形容詞] 聰明伶俐的
中級	click	[動詞] 發出卡嗒(或喀嚓)聲; [名詞] 卡嗒聲
中級	client	[名詞] 顧客,客戶
中級	cliff	[名詞] 懸崖,峭壁
初級	climate	[名詞] 氣候
中級	climax	[名詞] 頂點,最高點
初級	climb	[動詞] 爬;攀登
中級	climber	[名詞] 攀登者,登山者
中級	climbing	[名詞] 攀登
中高級	clinch	[動詞] 敲彎(釘頭)使釘牢;解決;揪扭;擁抱; [名詞] 鉗子;敲彎釘頭;釘牢;;揪扭;擁抱
中高級	cling	[動詞] 黏著;依附;墨守
中級	clinic	[名詞] 診所,門診所
中高級	clinical	[形容詞] 臨床的;診所的
中級	clip	[動詞] 剪;修剪;剪短;剪除; [名詞] 夾;鉗;迴紋針
初級	clock	[名詞] 鐘
中高級	clockwise	[形容詞] 順時針方向的;右旋的; [副詞] 順時針方向地;右旋地
中高級	clone	[動詞] 複製; [名詞] 無性繁殖系;複製品
初級	close	[形容詞] 近的;密切的; [動詞] 關上; [副詞] 接近,靠近地;緊密地,緊緊地; [名詞] 結束,終止;(金融)收盤價
中高級	closed	[形容詞] 關閉的;自給自足的;不公開的
初級	closet	[名詞] 壁櫥;衣櫥
中高級	closure	[名詞] 關閉;打烊;結束;終止
中級	cloth	[名詞] 布;(棉,毛,合成纖維等)織物;衣料
中級	clothe	[動詞] 給...穿衣;為...提供衣服
中級	clothed	[形容詞] 覆蓋著...的
初級	clothes	[名詞] 衣服
中級	clothing	[名詞] (總稱)衣服,衣著
中級	cloud	[動詞] 陰雲密佈;變暗;變模糊;變混濁; [名詞] 雲
初級	cloudy	[形容詞] 多雲的;陰天的
中高級	clover	[名詞] 苜蓿
中級	clown	[動詞] 開玩笑;裝傻; [名詞] 小丑,丑角
初級	club	[名詞] 俱樂部;夜總會;社團
中級	clue	[名詞] 線索,跡象,提示
中級	clumsy	[形容詞] 笨拙的
中高級	cluster	[動詞] 使成簇(或群);叢生; [名詞] 串;簇;群
中高級	clutch	[動詞] 抓住;攫取; [名詞] 爪子;手;掌握;攫取;離合器
初級	coach	[名詞] 教練
中級	coal	[名詞] 煤
中高級	coalition	[名詞] 結合;聯合;聯盟
中級	coarse	[形容詞] 粗的,粗糙的
初級	coast	[名詞] 海岸
中高級	coastal	[形容詞] 海岸的;近(或沿)海岸的
中高級	coastline	[名詞] 海岸線
初級	coat	[名詞] 外套
中高級	cocaine	[名詞] 古柯鹼
中級	cock	[名詞] 公雞
中高級	cockpit	[名詞] (飛機、小艇等)駕駛員座艙
初級	cockroach	[名詞] 蟑螂
中級	cocktail	[名詞] 雞尾酒
中高級	cocoa	[名詞] 可可粉;可可樹;可可色
中級	coconut	[名詞] 椰子;椰子肉
中高級	cocoon	[動詞] 緊緊包住;使(自己)孤立; [名詞] 繭
中級	code	[動詞] 為...編碼; [名詞] 法規;代碼;電碼
初級	coffee	[名詞] 咖啡
中高級	coffin	[名詞] 棺材;靈柩
中高級	coherent	[形容詞] 一致的;條理清楚的;連貫的
中高級	coil	[動詞] 捲;盤繞;捲成圈; [名詞] (一)捲;(一)圈;(一)匝;線圈
初級	coin	[名詞] 硬幣
中高級	coincide	[動詞] 同時發生;巧合;一致
中級	coincidence	[名詞] 巧合
初級	Coke	[名詞] 可口可樂
中高級	cola	[名詞] 可樂
初級	cold	[形容詞] 寒冷的; [名詞] 感冒
中高級	collaboration	[名詞] 合作;共同研究
中級	collapse	[動詞] 倒塌; [名詞] 倒塌
中級	collar	[名詞] 衣領
中級	colleague	[名詞] 同事,同僚
初級	collect	[動詞] 收集
中高級	collected	[形容詞] 收集成的
初級	collection	[名詞] 收集
中高級	collective	[形容詞] 集體的;共同的; [名詞] 集體農場(或企業);集團
中高級	collector	[名詞] 收集者;收藏家
初級	college	[名詞] 學院;大學
中高級	collide	[動詞] 相撞;衝突;抵觸
中高級	collision	[名詞] 相撞;衝突;抵觸
中高級	colloquial	[形容詞] 口語的;會話的
中高級	colonel	[名詞] 陸軍上校
中高級	colonial	[形容詞] 殖民地的;殖民的; [名詞] 殖民地居民
中級	colony	[名詞] 殖民地
初級	color	[動詞] 著色;渲染;文飾;歪曲;影響; [名詞] 顏色
中級	colored	[形容詞] 彩色的;有色人種(尤指黑人)的
初級	colorful	[形容詞] 富有色彩的
中級	column	[名詞] (報紙的)欄,段;行
中高級	columnist	[名詞] 專欄作家
初級	comb	[動詞] 用梳子梳理; [名詞] 梳子
中高級	combat	[動詞] 戰鬥;搏鬥;反對; [名詞] 戰鬥;格鬥;反對
中級	combination	[名詞] 組合
中級	combine	[動詞] 使結合
中級	combined	[形容詞] 聯合的;相加的
初級	come	[動詞] 到來
中高級	come down	[片語] 倒塌;流傳下來;失勢
中高級	comeback	[名詞] 恢復;重整旗鼓
中級	comedian	[名詞] 喜劇演員
中級	comedy	[名詞] 喜劇
中高級	comet	[名詞] 彗星
中級	comfort	[動詞] 安慰,慰問; [名詞] 安逸,舒適
初級	comfortable	[形容詞] 舒適的
中級	comfortably	[副詞] 舒服地;舒適地;安逸地;寬裕地
初級	comic	[形容詞] 滑稽的; [名詞] 漫畫
中級	coming	[形容詞] 即將到來的;下一個的
中高級	comma	[名詞] 逗號;停頓
初級	command	[動詞] 命令;掌握; 指揮;控制
中級	commander	[名詞] 指揮官,司令官
中高級	commemorate	[動詞] 慶祝;紀念
中高級	commence	[動詞] 開始;著手;得學位
中高級	commend	[動詞] 稱讚;推薦
初級	comment	[動詞] 評論; [名詞] 評論
中高級	commentary	[名詞] 評論;註釋
中高級	commentator	[名詞] (電臺、電視臺等)時事評論者
中級	commerce	[名詞] 商業,貿易,交易
中級	commercial	[形容詞] 商業的;商務的; [名詞] 商業廣告
中級	commission	[動詞] 委任,委託; [名詞] 佣金
中高級	commissioner	[名詞] (政府部門的)長;委員;專員
中級	commit	[動詞] 使作出保證;犯(罪),做(錯事等)
中級	commitment	[名詞] 託付,交託; 承諾, 保證
中級	committee	[名詞] 委員會
中高級	commodity	[名詞] 商品;日用品
初級	common	[形容詞] 常見的;尋常的;普遍的
中高級	commonplace	[形容詞] 平凡的;普通的; [名詞] 司空見慣的事;老生常談
中高級	commonwealth	[名詞] 共和國;全體國民;團體
中高級	communal	[形容詞] 自治體的;公共的;社區的
中級	communicate	[動詞] 傳達;傳遞
中級	communication	[名詞] 交往;通信
中高級	communicative	[形容詞] 愛說話的;交際的
中高級	communism	[名詞] 共產主義
中級	communist	[形容詞] 共產主義的; [名詞] 共產主義者
中級	community	[名詞] 社區
中高級	commute	[動詞] 減刑;通勤; [名詞] 通勤
中高級	commuter	[名詞] 通勤者
中高級	compact	[形容詞] 緊密的;結實的;小型的; [動詞] 使緊密;壓緊;使簡潔; [名詞] 連鏡小粉盒;小型轎車
中級	companion	[名詞] 同伴,伴侶
中高級	companionship	[名詞] 友誼;交往;伴侶關係
初級	company	[名詞] 公司
中高級	comparable	[形容詞] 可比較的;比得上的
中級	comparative	[形容詞] 比較的;相對的
初級	compare	[動詞] 比較
中級	compared	[形容詞] 比較的;對照的
中級	comparison	[名詞] 比較,對照
中高級	compartment	[名詞] 區劃;劃分;隔間
中高級	compass	[名詞] 羅盤;指南針;圓規
中高級	compassion	[名詞] 憐憫;同情
中高級	compassionate	[形容詞] 有同情心的;慈悲的
中高級	compatible	[形容詞] 能共處的;可並立的;相容的
中高級	compel	[動詞] 強迫;強求
中高級	compelling	[形容詞] 強制的;令人信服的
中高級	compensate	[動詞] 補償;賠償;酬報
中高級	compensation	[名詞] 補償;賠償;報酬
中級	compete	[動詞] 競爭;對抗
中高級	competence	[名詞] 能力;勝任;稱職
中高級	competent	[形容詞] 有能力的;能幹的;能勝任的
中高級	competing	[形容詞] 只能選其中之一的
中級	competition	[名詞] 競爭,角逐
中級	competitive	[形容詞] 競爭的
中級	competitor	[名詞] 競爭者;對手
中高級	compile	[動詞] 匯編;收集(資料等);編譯(程式)
初級	complain	[動詞] 抱怨
中級	complaint	[名詞] 抱怨;抗議;怨言
中高級	complement	[動詞] 補充;補足;與...相配; [名詞] 補充物;補足物
初級	complete	[形容詞] 完整的；徹底的; [動詞] 完成
初級	completion	[名詞] 完成,實現
中級	complex	[形容詞] 複雜的; [名詞] 複合物
中高級	complexion	[名詞] 面色;膚色
中高級	complexity	[名詞] 複雜(性);錯綜(性)
中級	complicate	[動詞] 使複雜化
中級	complicated	[形容詞] 複雜的
中高級	complication	[名詞] 複雜(化);併發症;(新出現的)困難
中級	compliment	[動詞] 讚美;恭維; [名詞] 恭維;問候;致意
中高級	comply	[動詞] (對要求、命令等)依從;順從
中高級	component	[形容詞] 組成的;構成的; [名詞] 構成要素;零件;成分
中級	compose	[動詞] 作(詩,曲等);構(圖)
中級	composer	[名詞] 作曲家
中高級	composite	[形容詞] 合成的;復合的; [名詞] 合成物;復合材料
中級	composition	[名詞] 寫作;作曲;作品;作文
中級	compound	[形容詞] 合成的,複合的; [動詞] 使惡化;使混合;使合成;以複利計算; 妥協; [名詞] 混合物
中高級	comprehend	[動詞] 理解;領會;包含
中級	comprehension	[名詞] 理解;理解力
中高級	comprehensive	[形容詞] 廣泛的;綜合的; [名詞] 專業綜合測驗;總考
中高級	compress	[動詞] 壓;壓縮;概括;精簡; [名詞] (消炎等用的)溼敷布
中高級	comprise	[動詞] 包括;由...組成
中高級	compromise	[動詞] 妥協;危及;洩露(祕密等); [名詞] 妥協;危及;(原則等的)放棄
中高級	compulsory	[形容詞] 必須做的;義務的;必修的
中級	compute	[動詞] 計算;估算;推斷
初級	computer	[名詞] 電腦
中高級	computerize	[動詞] 使電腦化;用電腦處理
中高級	computing	[名詞] 研究計算過程等的一門工程科學
中高級	comrade	[名詞] 夥伴;同事;(共產黨的)同志
中高級	con	[動詞] 精讀;欺詐; [名詞] 反對(的論點);反對者
中級	conceal	[動詞] 隱蔽,隱藏
中高級	concede	[動詞] (勉強)承認;讓步;承認失敗
中高級	conceit	[名詞] 自滿;自負
中高級	conceive	[動詞] 構想出;設想;懷孕
中級	concentrate	[動詞] 濃縮;全神貫注
中高級	concentrated	[形容詞] 集中的;濃縮的;全神貫注的
中級	concentration	[名詞] 專心;濃縮
中級	concept	[名詞] 概念,觀念
中高級	conception	[名詞] 概念;創始
初級	concern	[動詞] 使擔心; [名詞] 關懷
中高級	concerned	[形容詞] 掛慮的,擔心的;有關的;參與的;關心的
中級	concerning	[介系詞] 關於
中級	concert	[名詞] 音樂會,演奏會
中高級	concession	[名詞] 讓步;讓予物
中高級	concise	[形容詞] 簡明的
中級	conclude	[動詞] 推斷出,斷定
中級	conclusion	[名詞] 結論;推論
中級	concrete	[形容詞] 具體的; [名詞] 混凝土
中高級	condemn	[動詞] 責備;譴責;判刑
中高級	condemnation	[名詞] 譴責;定罪
中高級	condense	[動詞] 濃縮;縮短;凝結
中級	condition	[動詞] 決定;為...的條件; [名詞] 情況;條件
中高級	condom	[名詞] 保險套
中級	conduct	[動詞] 引導,帶領; [名詞] 行為,品行,舉動
中級	conductor	[名詞] 指揮
中級	cone	[名詞] 圓錐體;圓錐形
中高級	confederation	[名詞] 同盟;聯盟
中高級	confer	[動詞] 授予(學位等);給予;協商
中級	conference	[名詞] (正式)會議;討論會,協商會
中級	confess	[動詞] 坦白,供認,承認
中高級	confession	[名詞] 承認;供認;告解
中級	confidence	[名詞] 自信,信心,把握
初級	confident	[形容詞] 有信心的
中高級	confidential	[形容詞] 祕密的;機密的
中高級	configuration	[名詞] 結構
中級	confine	[動詞] 限制;使局限
中高級	confined	[形容詞] 監禁的;受限制的
初級	confirm	[動詞] 確認
初級	conflict	[名詞] 抵觸,不一致
中高級	conform	[動詞] 遵照;符合;使一致
中級	confront	[動詞] 面臨;遭遇
中級	confrontation	[名詞] 對抗
初級	Confucius	[名詞] 孔子
初級	confuse	[動詞] 使迷惑
中高級	confusing	[形容詞] 令人困惑的
中級	confusion	[名詞] 困惑;慌亂
中級	congratulate	[動詞] 祝賀;恭禧
初級	congratulation	[名詞] 祝賀
中級	congress	[名詞] 立法機關
中高級	congressional	[形容詞] 國家立法機關的;議會的
中高級	congressman	[名詞] 美國眾議院議員
中級	conjunction	[名詞] 連接詞;結合;關聯
中級	connect	[動詞] 連接,連結
中高級	connected	[形容詞] 有關連的;連在一起的
中級	connection	[名詞] 連接;聯絡;銜接
中級	conquer	[動詞] 克服;征服
中高級	conquest	[名詞] 征服;克服;佔領
中級	conscience	[名詞] 良心;道義心
中高級	conscientious	[形容詞] 憑良心的;誠實的;認真的
中級	conscious	[形容詞] 神志清醒的,有知覺的
中高級	consciousness	[名詞] 有知覺;清醒;意識
中高級	consecutive	[形容詞] 連續不斷的;連貫的
中高級	consensus	[名詞] 一致;合意;輿論
中高級	consent	[動詞] 同意;贊成; [名詞] 同意;贊成
中級	consequence	[名詞] 結果,後果
中級	consequent	[形容詞] 隨之發生的
中級	consequently	[副詞] 結果,因此,必然地
中高級	conservation	[名詞] 保存;(對自然資源的)保護
中級	conservative	[形容詞] 保守的,守舊的; [名詞] 保守者,守舊者
中高級	conserve	[動詞] 保存;保護;節省
初級	consider	[動詞] 考慮
中級	considerable	[形容詞] 相當大的;相當多的
中級	considerate	[形容詞] 體諒的
中級	consideration	[名詞] 考慮
中高級	considering	[副詞] 各方面考慮起來; [介系詞] 就...而論,考慮到; [連接詞] 就...而論,考慮到
中級	consist	[動詞] 組成,構成
中級	consistent	[形容詞] 始終如一的,前後一致的
中高級	consolation	[名詞] 安慰;慰藉
中高級	console	[動詞] 安慰;慰問
中高級	consolidate	[動詞] 合併;統一;鞏固
中級	consonant	[名詞] 子音
中高級	consortium	[名詞] 合夥;聯合;國際財團
中高級	conspicuous	[形容詞] 明顯的;易看見的
中高級	conspiracy	[名詞] 陰謀;謀叛;共謀
中高級	constable	[名詞] (美國小鎮的)警官;(英國)警察
中級	constant	[形容詞] 固定的,不變的
中高級	constituency	[名詞] 選舉區的全體選民;選舉區
中高級	constituent	[形容詞] 構成(全體)的;組成的;選舉的; [名詞] 成分;組成的要素;選民
中級	constitute	[動詞] 構成,組成
中級	constitution	[名詞] 憲法;章程,法規
中高級	constitutional	[形容詞] 憲法的;生來的
中高級	constrain	[動詞] 迫使;抑制
中高級	constraint	[名詞] 約束;限制;強迫
中級	construct	[動詞] 建造,構成; [名詞] 構想;概念
中級	construction	[名詞] 建造,建設
中級	constructive	[形容詞] 建設性的;積極的;有助益的
中級	consult	[動詞] 與...商量
中級	consultant	[名詞] 顧問
中高級	consultation	[名詞] 諮詢;商議
中級	consume	[動詞] 消耗,花費;耗盡
中級	consumer	[名詞] 消費者;消耗者
中高級	consuming	[形容詞] 強烈的;消耗的
中高級	consumption	[名詞] 消耗;用盡;消耗量
初級	contact	[動詞] 接觸;聯繫; [名詞] 接觸;隱形眼鏡
中高級	contagious	[形容詞] 接觸傳染的;(感情等)感染性的
初級	contain	[動詞] 包含;容納
中級	container	[名詞] 容器
中高級	contaminant	[名詞] 污染物;致污物
中高級	contaminate	[動詞] 弄髒;污染
中高級	contemplate	[動詞] 凝視;思忖;仔細考慮
中高級	contemplation	[名詞] 凝視;沈思;冥想
中級	contemporary	[形容詞] 當代的; [名詞] 同時代的人;同年齡的人;同時期的東西
中高級	contempt	[名詞] 輕視;(對法庭等的)藐視
中高級	contend	[動詞] 爭取;競爭;搏鬥;聲稱
中高級	contender	[名詞] (冠軍)爭奪者;競爭者
中級	content	[形容詞] 滿意的;甘願的; [動詞] 使滿足; [名詞] 內容,要旨
中高級	contention	[名詞] 主張;爭論;論點
中高級	contentment	[名詞] 知足;滿意
中級	contest	[動詞] 競爭,角逐;爭辯; [名詞] 爭奪,競爭
中高級	contestant	[名詞] 參加競賽者;角逐者
中級	context	[名詞] 上下文;文章脈絡
中級	continent	[名詞] 大陸,陸地;大洲
中級	continental	[形容詞] 洲的;大陸的
中高級	contingent	[形容詞] 可能的;以...做決定的; [名詞] 偶然事件;分遣隊
中級	continual	[形容詞] 不間斷的,連續的
初級	continue	[動詞] 繼續
中高級	continuity	[名詞] 連續性;一貫性
中級	continuous	[形容詞] 連續的,不斷的
初級	contract	[動詞] 締結;訂契約;承包;收縮; [名詞] 契約；合同
中高級	contractor	[名詞] 承包商;立契約者
中高級	contradict	[動詞] 否定(陳述等);反駁;與...矛盾
中高級	contradiction	[名詞] 矛盾;否認;反駁
中高級	contradictory	[形容詞] 矛盾的;對立的;好反駁的
中級	contrary	[形容詞] 相反的,對立的
中級	contrast	[動詞] 使對比,使對照; [名詞] 對比,對照
中級	contribute	[動詞] 捐獻,捐助;貢獻,出力
中級	contribution	[名詞] 貢獻
中高級	contributor	[名詞] 捐贈者;捐款人;貢獻者
中高級	contrive	[動詞] 發明;設計;圖謀
初級	control	[動詞] 控制; [名詞] 支配;控制;操縱裝置;指揮部
中高級	controller	[名詞] 主計官;主管;控制器
中高級	controversial	[形容詞] 有爭議的;好議論的
中高級	controversy	[名詞] 爭論;爭議
中高級	convene	[動詞] 集會;聚集
中級	convenience	[名詞] 方便;合宜
初級	convenient	[形容詞] 方便的
中級	convention	[名詞] 會議,大會
中級	conventional	[形容詞] 習慣的,慣例的
中高級	converge	[動詞] 會合;趨於一致;聚集
初級	conversation	[名詞] 會話
中級	converse	[動詞] 交談,談話
中高級	conversely	[副詞] 相反地;反過來說
中高級	conversion	[名詞] 改造;轉變;變換;改變信仰
中高級	convert	[動詞] 轉變;變換;改變信仰; [名詞] 改變信仰者;皈依者
中高級	convertible	[形容詞] 可轉換的;可兌換的;有摺篷的; [名詞] 有活動摺篷的汽車
中級	convey	[動詞] 運送;傳達
中高級	convict	[動詞] 證明...有罪;判...有罪; [名詞] (服刑的)囚犯
中高級	conviction	[名詞] 定罪;證明有罪;確信
中級	convince	[動詞] 使信服;說服
中高級	convinced	[形容詞] 確信的
中高級	convincing	[形容詞] 有說服力的;令人信服的
中高級	convoy	[動詞] 為...護航;護送;護衛; [名詞] 護航(艦隊);護送(部隊)
初級	cook	[動詞] 煮; [名詞] 廚師
中級	cooker	[名詞] 炊具,烹調器具
初級	cookie	[名詞] 餅乾
中級	cooking	[形容詞] 烹調用的; [名詞] 烹調;烹調術;飯菜
初級	cool	[形容詞] 涼快的;很棒的;酷; [動詞] 使涼快;使冷卻
中級	co-operate	[動詞] 合作,協作
中高級	cooperation	[名詞] 合作;協力
中級	co-operative	[形容詞] 合作的;樂意合作的
中高級	co-ordinate	[形容詞] 同等的;同格的;對等的; [動詞] 合作;協調; [名詞] 同等的人(物)
中高級	cop	[動詞] 偷;得到;抓;逮住; [名詞] 警察
中級	cope	[動詞] 競爭
中級	copper	[形容詞] 紅銅色的; [名詞] 銅
初級	copy	[動詞] 拷貝;抄襲; [名詞] 拷貝;副本
中高級	copyright	[名詞] 版權;著作權
中高級	coral	[形容詞] 珊瑚的;珊瑚色的; [名詞] 珊瑚
中級	cord	[名詞] 細繩,粗線,索
中高級	cordial	[形容詞] 熱忱的;衷心的
中高級	cordially	[副詞] 衷心地;誠摯地
